household_id,adult_id,job_cat,pro_contacts,company_id
225,543,Services_other,349,121
225,544,Shops_other,14,90
225,545,Indus_other,60,30
226,546,Transportation,404,11
226,547,Services_other,808,132
226,548,,0,
226,549,Services_other,370,23
227,550,,0,
227,551,Transportation,1449,5
228,552,Construction,2,30
228,553,,0,
229,554,Services_other,1411,226
229,555,,0,
230,556,Shops_other,6,65
230,557,Administration_schools,95,19
231,558,,0,
231,559,Hotel_Restaurant,143,37
231,560,Shops_other,9,62
231,561,Services_other,403,178
232,562,Administration_schools,53,22
232,563,Health,91,3
233,564,Administration_schools,67,69
233,565,Construction,1,36
233,566,Services_other,191,42
234,567,Services_other,654,181
234,568,Services_other,321,245
235,569,Services_other,456,182
235,570,Agriculture_fishing,1,29
235,571,,0,
235,572,Health,232,5
235,573,Health,282,0
236,574,,0,
236,575,Health,277,3
236,576,,0,
236,577,,0,
237,578,Services_other,1052,45
237,579,,0,
238,580,Administration_schools,102,2
238,581,Health,49,3
239,582,Administration_schools,63,47
239,583,Services_other,96,64
239,584,,0,
240,585,Administration_schools,86,43
240,586,Hotel_Restaurant,120,43
241,587,,0,
241,588,Health,274,0
242,589,Health,220,8
242,590,Administration_schools,71,75
243,591,Health,14,7
243,592,Shops_other,7,91
243,593,,0,
244,594,,0,
244,595,,0,
245,596,Transportation,1227,13
245,597,Health,191,2
246,598,Indus_other,49,12
246,599,Indus_other,69,15
247,600,Administration_schools,141,70
247,601,Administration_schools,88,73
248,602,Indus_other,74,7
248,603,,0,
249,604,,0,
249,605,Shops_other,7,40
249,606,Services_other,553,70
250,607,Services_other,1134,85
250,608,Hotel_Restaurant,76,43
251,609,Transportation,741,12
251,610,,0,
252,611,Hotel_Restaurant,100,11
252,612,Hotel_Restaurant,23,37
252,613,Transportation,1479,1
253,614,,0,
253,615,,0,
253,616,Indus_other,62,26
254,617,Indus_other,28,39
254,618,Services_other,1107,182
255,619,Administration_schools,64,58
255,620,Health,270,5
256,621,,0,
256,622,Indus_other,72,19
257,623,Services_other,724,229
257,624,,0,
258,625,,0,
258,626,,0,
259,627,,0,
259,628,,0,
260,629,Indus_other,38,8
260,630,,0,
261,631,Health,194,8
261,632,Services_other,605,156
262,633,Administration_schools,141,48
262,634,Indus_food,69,5
262,635,Services_other,1095,212
263,636,Shops_other,3,18
263,637,,0,
264,638,Administration_schools,101,61
264,639,Indus_other,61,9
265,640,Shops_other,6,109
265,641,Services_other,1024,171
266,642,,0,
266,643,Indus_food,35,5
266,644,,0,
267,645,Services_other,1108,110
267,646,Services_other,149,216
267,647,Health,175,3
268,648,,0,
268,649,Services_other,952,110
269,650,Administration_schools,18,36
269,651,Services_other,901,147
270,652,Health,91,3
270,653,Hotel_Restaurant,116,4
271,654,,0,
271,655,Services_other,32,90
272,656,Administration_schools,57,40
272,657,Services_other,764,127
273,658,,0,
273,659,Shops_other,4,54
274,660,,0,
274,661,Administration_schools,89,49
275,662,,0,
275,663,Indus_other,65,9
276,664,Transportation,744,16
276,665,Administration_schools,25,3
276,666,,0,
277,667,Indus_food,40,9
277,668,Services_other,430,142
278,669,,0,
278,670,Hotel_Restaurant,130,34
278,671,Transportation,1142,19
279,672,Services_other,758,94
279,673,Administration_schools,32,63
280,674,Transportation,1244,10
280,675,Administration_schools,106,72
281,676,,0,
281,677,,0,
282,678,Indus_other,62,0
282,679,Construction,3,9
283,680,Agriculture_fishing,1,90
283,681,Indus_other,74,37
283,682,Hotel_Restaurant,42,24
283,683,,0,
284,684,Health,122,6
284,685,Shops_other,5,4
285,686,Shops_other,9,114
285,687,,0,
285,688,Services_other,139,83
286,689,,0,
286,690,Shops_other,6,63
286,691,Administration_schools,77,36
287,692,,0,
287,693,,0,
287,694,Hotel_Restaurant,145,1
288,695,Health,81,4
288,696,Administration_schools,17,38
289,697,Administration_schools,94,37
289,698,Services_other,1495,29
290,699,,0,
290,700,Administration_schools,113,1
290,701,Shops_other,1,59
290,702,,0,
291,703,,0,
291,704,Administration_schools,88,4
292,705,Shops_other,6,29
292,706,,0,
293,707,Administration_schools,137,55
293,708,Indus_other,24,33
294,709,Services_other,157,10
294,710,Construction,2,70
295,711,Administration_schools,34,22
295,712,,0,
295,713,Health,21,6
295,714,Agriculture_fishing,3,42
295,715,Hotel_Restaurant,79,21
295,716,Construction,2,28
296,717,Administration_schools,92,33
296,718,Health,25,3
297,719,Administration_schools,33,16
297,720,Services_other,679,75
297,721,Shops_other,10,41
298,722,,0,
298,723,Shops_other,14,57
299,724,Construction,2,69
299,725,,0,
300,726,Indus_food,37,8
300,727,Administration_schools,125,21
300,728,,0,
301,729,Administration_schools,72,26
301,730,Health,299,8
302,731,,0,
302,732,Construction,2,52
303,733,Administration_schools,78,1
303,734,,0,
304,735,Services_other,760,17
304,736,Services_other,223,92
305,737,Administration_schools,117,10
305,738,Construction,2,51
306,739,Indus_other,36,35
306,740,Shops_market_food,1,2
306,741,,0,
306,742,Services_other,89,42
306,743,Administration_schools,28,27
307,744,,0,
307,745,Agriculture_fishing,3,40
307,746,Administration_schools,97,31
308,747,,0,
308,748,Services_other,404,37
308,749,Services_other,709,87
308,750,Shops_other,4,80
309,751,,0,
309,752,Agriculture_fishing,2,58
309,753,Indus_other,63,31
310,754,,0,
310,755,Services_other,186,220
311,756,,0,
311,757,Construction,2,71
311,758,Administration_schools,80,38
312,759,,0,
312,760,Indus_food,39,3
313,761,,0,
313,762,,0,
313,763,Hotel_Restaurant,46,24
314,764,Construction,2,19
314,765,,0,
314,766,Transportation,348,3
315,767,Shops_other,5,122
315,768,,0,
316,769,Services_other,1090,226
316,770,,0,
317,771,,0,
317,772,Administration_schools,67,72
318,773,,0,
318,774,,0,
318,775,,0,
319,776,Administration_schools,121,59
319,777,Hotel_Restaurant,112,34
320,778,Agriculture_fishing,1,59
320,779,,0,
321,780,,0,
321,781,,0,
322,782,Administration_schools,15,13
322,783,,0,
323,784,Health,153,2
323,785,Shops_other,4,11
323,786,,0,
324,787,Health,98,4
324,788,Indus_other,40,24
325,789,Shops_other,2,32
325,790,Indus_other,34,24
326,791,Administration_schools,139,80
326,792,Transportation,302,16
327,793,Services_other,773,89
327,794,Services_other,225,201
328,795,Health,225,5
328,796,Construction,0,16
329,797,,0,
329,798,,0,
330,799,Administration_schools,86,22
330,800,,0,
330,801,,0,
330,802,Shops_other,1,22
331,803,,0,
331,804,Indus_other,17,36
332,805,,0,
332,806,Services_other,441,31
333,807,Services_other,779,158
333,808,Transportation,1297,17
333,809,Services_other,805,170
333,810,Administration_schools,7,38
333,811,Administration_schools,16,18
334,812,Services_other,1038,20
334,813,Shops_other,10,13
335,814,Administration_schools,119,52
335,815,Administration_schools,108,2
336,816,Hotel_Restaurant,49,4
336,817,,0,
336,818,Administration_schools,87,39
337,819,Indus_other,39,9
337,820,Indus_food,71,4
337,821,,0,
338,822,Services_other,1331,99
338,823,Construction,3,25
339,824,,0,
339,825,,0,
340,826,Administration_schools,8,18
340,827,Administration_schools,114,0
340,828,,0,
341,829,Administration_schools,24,79
341,830,Services_other,944,93
342,831,,0,
342,832,Shops_other,10,4
343,833,Indus_other,68,35
343,834,Administration_schools,111,36
343,835,Health,254,1
344,836,Shops_other,10,39
344,837,Shops_other,7,5
345,838,,0,
345,839,Indus_other,52,32
346,840,,0,
346,841,,0,
346,842,Administration_schools,21,49
347,843,Administration_schools,148,16
347,844,Administration_schools,95,61
348,845,Hotel_Restaurant,35,22
348,846,,0,
349,847,,0,
349,848,,0,
349,849,,0,
350,850,Administration_schools,98,68
350,851,,0,
351,852,Services_other,734,14
351,853,Administration_schools,84,37
352,854,Services_other,931,224
352,855,Administration_schools,141,25
353,856,,0,
353,857,Services_other,496,59
354,858,Health,239,2
354,859,,0,
355,860,Services_other,498,121
355,861,,0,
356,862,Health,8,4
356,863,Services_other,484,58
356,864,Transportation,303,6
356,865,Shops_other,4,75
356,866,,0,
357,867,,0,
357,868,Administration_schools,53,15
358,869,,0,
358,870,Services_other,738,104
358,871,Indus_other,70,25
358,872,Services_other,881,17
358,873,Services_other,198,102
359,874,Services_other,52,19
359,875,Services_other,871,109
359,876,Services_other,1268,230
360,877,Shops_other,13,91
360,878,,0,
360,879,Shops_other,7,122
360,880,,0,
361,881,,0,
361,882,Shops_other,5,92
362,883,Transportation,583,10
362,884,Administration_schools,147,43
363,885,,0,
363,886,Construction,2,17
364,887,Services_other,1294,213
364,888,Administration_schools,146,47
364,889,Administration_schools,61,3
364,890,Administration_schools,82,29
365,891,Health,18,0
365,892,,0,
366,893,,0,
366,894,Services_other,721,213
367,895,Shops_other,12,77
367,896,Indus_other,56,1
367,897,,0,
367,898,Services_other,1257,38
368,899,Health,142,4
368,900,Services_other,1089,74
369,901,Shops_other,12,13
369,902,Health,155,5
370,903,,0,
370,904,Health,80,2
371,905,,0,
371,906,,0,
372,907,Indus_other,63,15
372,908,Administration_schools,145,34
373,909,,0,
373,910,Shops_other,8,31
374,911,,0,
374,912,Services_other,1046,207
375,913,Shops_other,12,120
375,914,Services_other,430,6
376,915,Health,190,2
376,916,Administration_schools,13,40
377,917,Shops_other,13,52
377,918,Administration_schools,141,66
378,919,Transportation,621,13
378,920,Services_other,1195,208
378,921,Services_other,554,195
378,922,Indus_food,33,8
379,923,,0,
379,924,Administration_schools,75,15
379,925,Health,260,7
380,926,,0,
380,927,Indus_other,44,3
381,928,,0,
381,929,Administration_schools,99,5
381,930,Administration_schools,53,25
381,931,Construction,2,34
381,932,Services_other,753,189
382,933,Shops_other,2,33
382,934,Services_other,108,123
383,935,,0,
383,936,Agriculture_fishing,3,84
384,937,Indus_food,73,2
384,938,,0,
385,939,,0,
385,940,,0,
386,941,Indus_other,16,6
386,942,Health,159,8
387,943,,0,
387,944,,0,
387,945,Services_other,609,71
388,946,Administration_schools,127,25
388,947,Services_other,1477,18
388,948,Construction,3,24
388,949,Services_other,428,246
389,950,Construction,2,4
389,951,,0,
390,952,Construction,1,65
390,953,,0,
391,954,,0,
391,955,Administration_schools,30,24
392,956,,0,
392,957,Shops_other,13,71
392,958,,0,
393,959,,0,
393,960,Indus_other,71,34
394,961,Administration_schools,7,62
394,962,Indus_other,68,20
395,963,Shops_other,5,38
395,964,Health,139,3
395,965,Construction,1,21
396,966,Health,52,4
396,967,Indus_food,50,3
396,968,,0,
397,969,Agriculture_fishing,2,66
397,970,Services_other,1127,79
398,971,,0,
398,972,Indus_other,56,34
399,973,Administration_schools,119,22
399,974,Agriculture_fishing,0,73
399,975,Health,42,5
400,976,,0,
400,977,Indus_other,39,35
401,978,,0,
401,979,,0,
402,980,Transportation,1400,16
402,981,,0,
402,982,Shops_other,4,7
403,983,Construction,2,18
403,984,Administration_schools,100,8
404,985,,0,
404,986,Administration_schools,82,17
405,987,,0,
405,988,,0,
406,989,Indus_other,56,6
406,990,Hotel_Restaurant,5,19
407,991,,0,
407,992,Services_other,450,79
408,993,,0,
408,994,,0,
409,995,Services_other,624,32
409,996,Administration_schools,17,71
410,997,,0,
410,998,,0,
411,999,Administration_schools,43,9
411,1000,Services_other,1046,42
412,1001,Construction,2,25
412,1002,Administration_schools,18,4
412,1003,Shops_other,4,6
413,1004,Services_other,419,173
413,1005,Indus_other,20,37
414,1006,Shops_other,4,124
414,1007,Administration_schools,8,14
415,1008,Indus_food,62,2
415,1009,Construction,1,7
415,1010,,0,
416,1011,Indus_other,39,8
416,1012,,0,
417,1013,Agriculture_fishing,3,76
417,1014,,0,
418,1015,,0,
418,1016,,0,
418,1017,Services_other,240,190
418,1018,Shops_other,13,7
418,1019,Health,148,6
419,1020,,0,
419,1021,Indus_other,48,5
420,1022,Services_other,793,112
420,1023,Administration_schools,128,16
421,1024,Indus_other,27,33
421,1025,Health,13,6
422,1026,Health,266,6
422,1027,,0,
423,1028,,0,
423,1029,Services_other,704,125
423,1030,,0,
424,1031,,0,
424,1032,Services_other,799,118
424,1033,Administration_schools,78,33
425,1034,Shops_other,11,57
425,1035,,0,
426,1036,,0,
426,1037,,0,
427,1038,Transportation,901,5
427,1039,Services_other,742,15
428,1040,,0,
428,1041,,0,
428,1042,Indus_other,42,14
429,1043,Indus_other,51,14
429,1044,,0,
430,1045,Transportation,1367,17
430,1046,Agriculture_fishing,2,26
430,1047,,0,
430,1048,Services_other,1037,212
431,1049,Services_other,1442,1
431,1050,Services_other,990,78
432,1051,Services_other,363,107
432,1052,Administration_schools,23,70
433,1053,Health,23,1
433,1054,Indus_other,61,21
434,1055,,0,
434,1056,Administration_schools,89,62
435,1057,Administration_schools,59,39
435,1058,,0,
435,1059,,0,
436,1060,Indus_other,60,3
436,1061,Agriculture_fishing,1,59
437,1062,,0,
437,1063,Hotel_Restaurant,124,28
437,1064,Health,156,4
438,1065,Services_other,1250,0
438,1066,,0,
439,1067,,0,
439,1068,Administration_schools,46,37
439,1069,,0,
439,1070,Administration_schools,33,5
440,1071,,0,
440,1072,Administration_schools,56,79
441,1073,,0,
441,1074,,0,
442,1075,,0,
442,1076,,0,
443,1077,Health,82,6
443,1078,,0,
443,1079,,0,
443,1080,Shops_other,9,122
444,1081,,0,
444,1082,Services_other,632,194
444,1083,Services_other,956,136
445,1084,Shops_other,1,114
445,1085,,0,
445,1086,Hotel_Restaurant,62,40
446,1087,Services_other,313,193
446,1088,Construction,3,83
446,1089,,0,
447,1090,Indus_other,51,15
447,1091,Indus_food,30,4
447,1092,Indus_other,58,32
447,1093,Health,42,1
447,1094,Services_other,993,197
447,1095,Administration_schools,122,34
448,1096,,0,
448,1097,Administration_schools,31,4
448,1098,Shops_other,7,11
448,1099,Indus_other,72,13
448,1100,,0,
448,1101,Construction,1,72
449,1102,Administration_schools,150,56
449,1103,Administration_schools,55,63
450,1104,Services_other,1016,241
450,1105,Construction,2,34
451,1106,Shops_other,5,58
451,1107,Administration_schools,88,48
452,1108,,0,
452,1109,,0,
453,1110,Indus_other,20,20
453,1111,Construction,1,34
453,1112,,0,
454,1113,Administration_schools,49,49
454,1114,Administration_schools,81,13
454,1115,Services_other,639,47
454,1116,Health,275,4
454,1117,,0,
454,1118,Services_other,956,151
455,1119,Shops_other,5,107
455,1120,Transportation,1112,17
456,1121,,0,
456,1122,,0,
456,1123,Transportation,311,19
457,1124,Transportation,451,17
457,1125,Services_other,1128,57
458,1126,,0,
458,1127,,0,
458,1128,Administration_schools,121,23
458,1129,Administration_schools,147,14
459,1130,Services_other,870,241
459,1131,Services_other,356,149
459,1132,Administration_schools,77,31
460,1133,Administration_schools,78,51
460,1134,Services_other,1027,240
461,1135,,0,
461,1136,,0,
462,1137,Hotel_Restaurant,94,16
462,1138,Health,292,3
463,1139,Transportation,709,14
463,1140,,0,
463,1141,,0,
464,1142,Services_other,839,241
464,1143,Transportation,1219,2
